Date,Venue,Address,City,State,Postal Code,Country,Details,Age Limit,Ticket Details,Ticket Link,Artists
2011-01-11 20:00,Venue (TBA),"",Paris,,"",FR,With "Neo Blade,All Ages,"","",""
2011-02-28 17:00,Nashville Palace,2611 McGavock Pike,Nashville,TN,37214,US,Jason Adams Playes March 14Th,All Ages,Free,"","Jeff Batson, Jason Adams"
2011-03-03 19:00,Historic Train Museum,"",Bowling Green,KY,"",US,Barren River Trio and Hannah Aldridge Live!,All Ages,$5,"",Barren River Trio
2011-03-12 19:30,The Trojan House,"",Muscle Shoals,AL,35661,US,Hannah Aldridge Live with The Barren River Trio ,All Ages,,,Barren River Trio
2011-03-19 21:00,Swamper's,Marriott Hotel,Florence,AL,"",US,We will be playing 9 -12!,All Ages,"","",Barren River Trio
2011-04-08 20:00,Historic Crump Theatre,425 3rd St,Columbus,IN,47201,US,Oh and it is also Alex's birthday. ,All Ages,"","",Barren River Trio
2011-04-21 19:00,Hannah's Album Release/ Listening Party,1979 Studio,Nashville,TN,"",US,"",All Ages,"","",Barren River Trio
2011-04-26 20:00,The Listening Room Cafe,209 10th Ave S,Nashville,TN,37203,US,"",All Ages,"","",Lisa Shaffer
2011-05-04 19:00,The Listening Room Cafe,209 10th Ave S,Nashville,TN,37203,US,"",All Ages,"","","Room #31, STEVE DEAN, Barren River Trio"
2011-05-05 20:30,Douglas Corner Cafe,2106 8th Ave S,Nashville,TN,37204,US,Wanderer Album Release show!,All Ages,$5 ,"",""

